OBJECTID,Neighborhood,LAPD_Cost,LAPD_Days in Jail,LAPD_Arrests,LASD_Cost,LASD_Days in Jail,LASD_Arrests,2010 Population,Combo_Cost,Combo_Cost_PerPop,Combo_Days,Combo_Days_PerPop,Combo_Arrests,Combo_Arrests_PerPop,spa,sup_dist,Shape__Area,Shape__Length
51,Desert View Highlands,11952,52,26,1021960,6993,298,3259,1033912,317.248235655109,7045,2.16170604479902,324,0.0994169990794722,SPA 1 - Antelope Valley,District 5,12354975.6660156,24372.4764351724
52,Diamond Bar,37694,164,95,2406780,15339,1165,46826,2444474,52.2033485670354,15503,0.331076752231666,1260,0.0269081279630974,SPA 3 - San Gabriel,District 1,421689484.256836,113425.332303805
53,Downey,350966,1527,784,7031180,45959,2933,111772,7382146,66.0464695988262,47486,0.424847009984612,3717,0.0332551980818094,SPA 7 - East,District 4,349301720.579102,89806.9052489035
54,Downtown,7321323,31854,12203,4219200,28669,1313,43052,11540523,268.060090123572,60523,1.40581157669795,13516,0.313945925857103,SPA 4 - Metro,District 1,162758797.339844,56448.8224025567
55,Duarte,43440,189,88,3176760,21597,984,21321,3220200,151.034191642043,21786,1.02180948360771,1072,0.0502790675859481,SPA 3 - San Gabriel,District 5,186476004.77832,112422.6232379
56,Eagle Rock,627463,2730,1219,534961,3663,155,32166,1162424,36.138282658708,6393,0.198750233165454,1374,0.042715911210595,SPA 4 - Metro,District 1,118504248.933594,59993.3856179666
57,East Compton,113081,492,220,4923770,33562,1489,11897,5036851,423.371522232496,34054,2.86240228629066,1709,0.143649659578045,SPA 6 - South,District 2,23260594.7744141,50535.2423604583
58,East Hollywood,3454495,15030,6852,1487910,9981,516,69639,4942405,70.9717974123695,25011,0.359152199198725,7368,0.105802782923362,SPA 4 - Metro,District 1,66315351.5908203,32233.9238774234
59,East La Mirada,8044,35,18,1032670,6586,498,9757,1040714,106.663318643026,6621,0.678589730449933,516,0.0528851081274982,SPA 7 - East,District 4,30946835.0517578,26446.1839831111
60,East Los Angeles,1233321,5366,2417,32635100,216085,12479,125606,33868421,269.640152540484,221451,1.76306068181456,14896,0.118593060841043,SPA 7 - East,District 1,208139094.803711,87694.6396880484
61,East Pasadena,20915,91,46,440620,2904,174,4841,461535,95.3387729807891,2995,0.618673827721545,220,0.0454451559595125,SPA 3 - San Gabriel,District 5,36462907.3378906,40521.800466851
62,East San Gabriel,36545,159,86,1165820,7626,484,24085,1202365,49.9217355200332,7785,0.323230226281918,570,0.0236661822711231,SPA 3 - San Gabriel,District 5,60851349.7773438,87992.3668818525
63,Echo Park,1222979,5321,2425,592643,3867,250,37475,1815622,48.4488859239493,9188,0.245176784523015,2675,0.0713809206137425,SPA 4 - Metro,District 1,66860227.7832031,42898.6060044161
64,Elizabeth Lake,1839,8,4,138433,914,54,749,140272,187.279038718291,922,1.23097463284379,58,0.0774365821094793,SPA 1 - Antelope Valley,District 5,175789099.186523,77928.796210106
65,El Monte,269602,1173,564,11952100,80463,4027,114708,12221702,106.546204275203,81636,0.711685322732503,4591,0.0400233636712348,SPA 3 - San Gabriel,District 1,270190368.017578,108521.591299192
66,El Segundo,60678,264,147,164067,1093,60,16654,224745,13.4949561666867,1357,0.0814819262639606,207,0.0124294463792482,SPA 8 - South Bay,District 2,152188378.961914,57829.4371759023
67,El Sereno,1449141,6305,2686,2021750,13394,770,39582,3470891,87.6886210903946,19699,0.49767571118185,3456,0.08731241473397,SPA 4 - Metro,District 1,116190981.152344,50955.0274279449
68,Elysian Park,36774,160,76,65161,441,21,1894,101935,53.8199577613516,601,0.317317845828933,97,0.0512143611404435,SPA 4 - Metro,District 1,45862309.1347656,29450.0993373856
69,Elysian Valley,183872,800,367,82787,540,35,6889,266659,38.707940194513,1340,0.19451299172594,402,0.058353897517782,SPA 4 - Metro,District 1,22017225.1835938,27768.6797862217
70,Encino,755714,3288,1786,254877,1557,151,43648,1010591,23.1532028958944,4845,0.111001649560117,1937,0.0443777492668622,SPA 2 - San Fernando,District 3,264836574.517578,89700.6289949202
71,Fairfax,182033,792,412,151608,894,103,12480,333641,26.7340544871795,1686,0.135096153846154,515,0.0412660256410256,SPA 4 - Metro,District 3,34400955.7490234,24342.3605429751
72,Gardena,529551,2304,1113,3271810,21227,1430,58829,3801361,64.6171276071325,23531,0.399989800948512,2543,0.0432269798908701,SPA 8 - South Bay,District 2,162918318.885742,65902.7482893536
73,Glassell Park,640334,2786,1251,501015,3470,129,24064,1141349,47.4297290558511,6256,0.259973404255319,1380,0.0573470744680851,SPA 4 - Metro,District 1,76746711.3720703,50081.6038102651
74,Glendale,1196547,5206,2887,1297220,8099,697,190790,2493767,13.0707427013994,13305,0.0697363593479742,3584,0.0187850516274438,SPA 2 - San Fernando,District 5,853858979.600586,191575.583313458
75,Glendora,37004,161,87,2039700,13676,710,53856,2076704,38.5603089720737,13837,0.256925876411171,797,0.0147987225193108,SPA 3 - San Gabriel,District 5,544781179.915039,148052.524105392
76,Granada Hills,1296068,5639,2787,1006290,6777,338,53692,2302358,42.8808388586754,12416,0.231244878194144,3125,0.0582023392684199,SPA 2 - San Fernando,District 3,421282456.370117,89932.580963734
77,Green Valley,919,4,2,84446,594,18,0,85365,,598,,20,,SPA 2 - San Fernando,District 5,72628728.1123047,48288.3761443436
78,Griffith Park,4827,21,11,30431,225,2,14,35258,2518.42857142857,246,17.5714285714286,13,0.928571428571429,SPA 4 - Metro,District 5,162629217.97168,70756.9733491005
79,Hacienda Heights,62516,272,161,6614670,43264,2748,53568,6677186,124.648782855436,43536,0.812724014336918,2909,0.0543048088410992,SPA 3 - San Gabriel,District 1,331391973.875,91726.0189109301
80,Hancock Park,149396,650,346,297184,2001,100,9809,446580,45.5275767152615,2651,0.270262004281782,446,0.0454684473442757,SPA 4 - Metro,District 2,42318831.4501953,26484.412129517
81,Hansen Dam,34706,151,73,3600,15,5,33,38306,1160.78787878788,166,5.03030303030303,78,2.36363636363636,SPA 2 - San Fernando,District 5,54671460.8115234,35865.9774654231
82,Harbor City,516910,2249,1062,1832910,12070,728,23727,2349820,99.0356977283264,14319,0.603489695283854,1790,0.0754414801702702,SPA 8 - South Bay,District 4,71963081.5722656,45295.263156607
83,Harbor Gateway,1141615,4967,2227,3750530,24614,1524,40137,4892145,121.886164885268,29581,0.737000772354685,3751,0.0934549169095847,SPA 8 - South Bay,District 2,143320679.300781,105279.174475016
84,Hasley Canyon,5746,25,8,38095,178,45,0,43841,,203,,53,,SPA 2 - San Fernando,District 5,86478346.7841797,67732.2742866476
85,Hawaiian Gardens,15169,66,37,3478110,22922,1374,12968,3493279,269.376850709439,22988,1.77267119062307,1411,0.108806292412091,SPA 7 - East,District 4,27462239.7070313,26742.9567770423
86,Hawthorne,885803,3854,1821,5782550,37505,2532,86046,6668353,77.4975362015666,41359,0.480661506635985,4353,0.0505892197196848,SPA 8 - South Bay,District 2,173672196.985352,103310.719930839
87,Hermosa Beach,27811,121,77,154491,967,82,19506,182302,9.3459448374859,1088,0.0557777094227417,159,0.00815133804983082,SPA 8 - South Bay,District 2,41193863.25,28570.667048842
88,Hidden Hills,5976,26,16,30742,181,21,1985,36718,18.4977329974811,207,0.104282115869018,37,0.018639798488665,SPA 2 - San Fernando,District 3,47504035.2509766,43877.8768598127
89,Highland Park,2087407,9082,3994,640871,3902,385,53332,2728278,51.1564914122853,12984,0.24345608640216,4379,0.0821083027075677,SPA 4 - Metro,District 1,95327878.4550781,64005.2082017081
90,Hollywood,4309960,18752,8402,2796770,18485,1083,71133,7106730,99.9076378052381,37237,0.523484177526605,9485,0.133341768236965,SPA 4 - Metro,District 3,97690846.4052734,47755.1240311112
91,Hollywood Hills,479676,2087,1103,380299,2502,152,23245,859975,36.9961281996128,4589,0.19741879974188,1255,0.0539901053990105,SPA 4 - Metro,District 5,196476903.992188,71502.399155134
92,Hollywood Hills West,214900,935,510,225994,1412,121,16324,440894,27.0089438863024,2347,0.143776035285469,631,0.0386547414849302,SPA 4 - Metro,District 3,135895303.68457,62687.416471767
93,Huntington Park,323615,1408,693,3950310,25867,1629,59737,4273925,71.5456919497129,27275,0.456584696251904,2322,0.0388703818404004,SPA 7 - East,District 4,84601628.3154297,66649.7232211981
94,Industry,1839,8,4,757721,5114,250,18943,759560,40.0971335057805,5122,0.270390117721586,254,0.0134086469936124,SPA 3 - San Gabriel,District 1,344308113.660156,370635.136392476
